last_changed,state
1739219641119,3345.4
1739220341136,3345.5
1739221131165,3345.6
1739221751205,3345.7
1739222501231,3345.8
1739223666285,3345.9
1739224886349,3346.0
1739225866398,3346.1
1739226856446,3346.2
1739227711490,3346.3
1739228571528,3346.4
1739229426569,3346.5
1739230301611,3346.6
1739231296796,3346.7
1739232231709,3346.8
1739233111747,3346.9
1739234046793,3347.0
1739235166855,3347.1
1739236411912,3347.2
1739237673984,3347.3
1739238921036,3347.4
1739240016092,3347.5
1739240941130,3347.6
1739241896179,3347.7
1739242881223,3347.8
1739244372293,3347.9
1739246022370,3348.0
1739247672470,3348.1
1739250271600,3348.2
1739253194718,3348.3
1739254909804,3348.4
1739256484880,3348.5
1739258074953,3348.6
1739259715042,3348.7
1739261390121,3348.8
1739264265262,3348.9
1739266890391,3349.0
1739268420480,3349.1
1739270025540,3349.2
1739270185560,3349.3
1739270305558,3349.4
1739270420564,3349.5
1739270535572,3349.6
1739270650574,3349.7
1739270770583,3349.8
1739270890586,3349.9
1739272955687,3350.0
1739273955741,3350.1
1739274985797,3350.2
1739276015839,3350.3
1739277035887,3350.4
1739278060937,3350.5
1739279095988,3350.6
1739280546062,3350.7
1739282121140,3350.8
1739287905078,3351.3
1739289551549,3351.4
1739291266629,3351.5
1739292786702,3351.6
1739294307774,3351.7
1739295722858,3351.8
1739297057906,3351.9
1739298705982,3352.0
1739300361063,3352.1
1739302021146,3352.2
1739303589227,3352.3
1739305104295,3352.4
1739306685405,3352.5
1739309216503,3352.6
1739311917626,3352.7
1739313428698,3352.8
1739314994770,3352.9
1739315454794,3353.0
1739315569804,3353.1
1739316384847,3353.2
1739317970926,3353.3
1739319906022,3353.4
1739321254089,3353.5
1739322585151,3353.6
1739323996216,3353.7
1739324961262,3353.8
1739325716300,3353.9
1739326706345,3354.0
1739328138420,3354.1
1739329607487,3354.2
1739331178563,3354.3
1739332798639,3354.4
1739334453725,3354.5
1739336608821,3354.6
1739339458965,3354.7
1739341719070,3354.8
1739343332150,3354.9
1739344982230,3355.0
1739346617308,3355.1
1739348272387,3355.2
1739349967469,3355.3
1739352122576,3355.4
1739354962711,3355.5
1739357145815,3355.6
1739358105862,3355.7
1739359100908,3355.8
1739360160959,3355.9
1739361156006,3356.0
1739362209052,3356.1
1739363666128,3356.2
1739365191200,3356.3
1739366426260,3356.4
1739367661322,3356.5
1739368756372,3356.6
1739369662420,3356.7
1739370607464,3356.8
1739371572508,3356.9
1739372507550,3357.0
1739373508600,3357.1
1739374518650,3357.2
1739374979671,3357.3
1739375094679,3357.4
1739375654705,3357.5
1739376929765,3357.6
1739378669849,3357.7
1739381064967,3357.8
1739382035009,3357.9
1739382920049,3358.0
1739383815095,3358.1
1739384763140,3358.2
1739385743186,3358.3
1739386718236,3358.4
1739387703284,3358.5
1739389550370,3358.6
1739391060443,3358.7
1739392551517,3358.8
1739393632573,3358.9
1739394628619,3359.0
1739395613664,3359.1
1739396619713,3359.2
1739397619762,3359.3
1739398544807,3359.4
1739399539852,3359.5
1739400539906,3359.6
1739402459996,3359.7
1739404710103,3359.8
1739406740199,3359.9
1739408105267,3360.0
1739409497559,3360.1
1739410920399,3360.2
1739412375471,3360.3
1739414285566,3360.4
1739416265658,3360.5
1739417665725,3360.6
1739418705777,3360.7
1739419655824,3360.8
1739420715921,3360.9
1739422185957,3361.0
1739423696026,3361.1
1739425306108,3361.2
1739427816214,3361.3
1739430646349,3361.4
1739432542441,3361.5
1739434137514,3361.6
1739435787596,3361.7
1739437927696,3361.8
1739440777836,3361.9
1739443197949,3362.0
1739444763026,3362.1
1739446396107,3362.2
1739448296195,3362.3
1739451136332,3362.4
1739452116380,3362.5
1739452236393,3362.6
1739452351390,3362.7
1739452471434,3362.8
1739452591403,3362.9
1739453141426,3363.0
1739455396541,3363.1
1739456467598,3363.2
1739457482651,3363.3
1739458637708,3363.4
1739459924757,3363.5
1739461245812,3363.6
1739462600881,3363.7
1739464764983,3363.8
1739465845041,3363.9
1739466851089,3364.0
1739467866137,3364.1
1739468867187,3364.2
1739469898238,3364.3
1739470985283,3364.4
1739473681413,3364.5
1739476621555,3364.6
1739478371638,3364.7
1739480016720,3364.8
1739481721803,3364.9
1739484036915,3365.0
1739486992053,3365.1
1739489082144,3365.2
1739489202153,3365.3
1739489322156,3365.4
1739489437164,3365.5
1739490022196,3365.6
1739491590278,3365.7
1739493150349,3365.8
1739494596420,3365.9
1739496186495,3366.0
1739497691569,3366.1
1739499156638,3366.2
1739500186690,3366.3
1739501227747,3366.4
1739502402800,3366.5
1739504028877,3366.6
1739506163974,3366.7
1739509019115,3366.8
1739511306220,3366.9
1739512884298,3367.0
1739514488378,3367.1
1739516379465,3367.2
1739519214599,3367.3
1739521993730,3367.4
1739523559810,3367.5
1739525150885,3367.6
1739526806963,3367.7
1739529577093,3367.8
1739532457233,3367.9
1739534237324,3368.0
1739534352335,3368.1
1739534472334,3368.2
1739534587341,3368.3
1739534707345,3368.4
1739534822353,3368.5
1739534942355,3368.6
1739535057359,3368.7
1739535517378,3368.8
1739537117454,3368.9
1739538447515,3369.0
1739539472566,3369.1
1739540507619,3369.2
1739541607672,3369.3
1739543004742,3369.4
1739545390854,3369.5
1739547400962,3369.6
1739548966032,3369.7
1739550081084,3369.8
1739551201131,3369.9
1739552307186,3370.0
1739553362234,3370.1
1739555438334,3370.2
1739558249770,3370.3
1739560091857,3370.4
1739561661934,3370.5
1739563232013,3370.6
1739565022096,3370.7
1739568712272,3370.8
1739577532700,3370.9
1739581092873,3371.0
1739590104305,3371.1
1739593631474,3371.2
1739602849919,3371.3
1739606440084,3371.4
1739615579528,3371.5
1739619181693,3371.6
1739628420141,3371.7
1739637962595,3371.8
1739641497767,3371.9
1739650788216,3372.0
1739654288383,3372.1
1739663549818,3372.2
1739667165007,3372.3
1739676421447,3372.4
1739680076621,3372.5
1739689393059,3372.6
1739699039530,3372.7
1739702529698,3372.8
1739712116155,3372.9
1739715782334,3373.0
1739725077781,3373.1
1739731963113,3373.2
1739737888397,3373.3
1739743698677,3373.4
1739750694016,3373.5
1739754356192,3373.6
1739763491636,3373.7
1739767176811,3373.8
1739776360251,3373.9
1739783595600,3374.0
1739789235875,3374.1
1739798731331,3374.2
1739802173498,3374.3
1739807703783,3374.4
1739809889876,3374.5
1739811796963,3374.6
1739813114028,3374.7
1739814980117,3374.8
1739817025219,3374.9
1739819040315,3375.0
1739820676390,3375.1
1739821770449,3375.2
1739822890507,3375.3
1739824025555,3375.4
1739825175616,3375.5
1739826320669,3375.6
1739827450726,3375.7
1739828555779,3375.8
1739829650825,3375.9
1739830740884,3376.0
1739831137973,3376.0
1739831807938,3376.1
1739838855276,3376.6
1739839525306,3376.7
1739841755415,3376.8
1739844390546,3376.9
1739845455598,3377.0
1739846970671,3377.1
1739848590750,3377.2
1739850250828,3377.3
1739850870857,3377.4
1739850990877,3377.5
1739851106627,3377.6
1739851365885,3377.7
1739851620892,3377.8
1739853240969,3377.9
1739854921052,3378.0
1739857646187,3378.1
1739860521323,3378.2
1739862321472,3378.3
1739863907491,3378.4
1739865532568,3378.5
1739867167658,3378.6
1739869292748,3378.7
1739871818872,3378.8
1739874546003,3378.9
1739876077078,3379.0
1739877662154,3379.1
1739879297239,3379.2
1739880802306,3379.3
1739882212378,3379.4
1739883610444,3379.5
1739885030509,3379.6
1739886457271,3379.7
1739887531628,3379.8
1739888581680,3379.9
1739889631738,3380.0
1739890682786,3380.1
1739897060094,3380.2
1739899695225,3380.3
1739901190296,3380.4
1739902745373,3380.5
1739904250458,3380.6
1739905650505,3380.7
1739906695561,3380.8
1739907776612,3380.9
1739908901665,3381.0
1739910386900,3381.1
1739911896824,3381.2
1739913436096,3381.3
1739914525946,3381.4
1739915470983,3381.5
1739916433037,3381.6
1739918488128,3381.7
1739920848251,3381.8
1739922663339,3381.9
1739923658383,3382.0
1739924688421,3382.1
1739926133495,3382.2
1739927618564,3382.3
